FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class
1,2010-06-04,v1.0,0,LEO,CCAFS SLC 40,None None,1,False,False,False,,1.0,0,B0003,-80.6,28.6,0
2,2012-05-22,v1.0,525,LEO,CCAFS SLC 40,None None,1,False,False,False,,1.0,1,B0005,-80.6,28.6,0
3,2013-03-01,v1.0,677,ISS,CCAFS SLC 40,None None,1,False,False,False,,1.0,2,B1003,-80.6,28.6,0
4,2013-09-29,v1.0,500,PO,VAFB SLC 4E,False Ocean,1,False,False,False,,1.0,3,B1004,-120.6,34.6,0
5,2013-12-03,v1.1,3170,GTO,CCAFS SLC 40,None None,1,False,False,False,,1.1,4,B1005,-80.6,28.6,0
6,2014-01-06,v1.1,3325,GTO,CCAFS SLC 40,True Ocean,1,False,False,False,Ocean,1.1,5,B1006,-80.6,28.6,1
7,2014-04-18,v1.1,2296,ISS,CCAFS SLC 40,False Ocean,1,False,False,False,Ocean,1.1,6,B1007,-80.6,28.6,0
8,2014-07-14,v1.1,1316,LEO,CCAFS SLC 40,True Ocean,1,False,False,False,Ocean,1.1,7,B1008,-80.6,28.6,1
9,2014-08-05,v1.1,4535,GTO,CCAFS SLC 40,False Ocean,1,False,False,False,Ocean,1.1,8,B1010,-80.6,28.6,0
10,2014-09-07,v1.1,4428,GTO,CCAFS SLC 40,True Ocean,1,False,False,False,Ocean,1.1,9,B1011,-80.6,28.6,1
11,2014-09-21,v1.1,2216,SSO,CCAFS SLC 40,False Ocean,1,False,False,False,Ocean,1.1,10,B1012,-80.6,28.6,0
12,2014-10-28,v1.1,4700,GTO,CCAFS SLC 40,True Ocean,1,False,False,False,Ocean,1.1,11,B1013,-80.6,28.6,1
13,2015-01-10,v1.1,1898,GTO,CCAFS SLC 40,True Ocean,1,False,False,False,Ocean,1.1,12,B1014,-80.6,28.6,1
14,2015-02-11,v1.1,570,SSO,CCAFS SLC 40,True Ocean,1,False,False,False,Ocean,1.1,13,B1015,-80.6,28.6,1
